Attribute,Short Name
acceptedSessionDescriptions,asd
accessControlAuthenticationFlag,acaf
accessControlContexts,acco
accessControlEvalCriteria,acec
accessControlIpAddresses,acip
accessControlLimit,acl
accessControlLocationRegion,aclr
accessControlObjectDetails,acod
accessControlOperations,acop
accessControlOriginators,acor
accessControlPolicy,acp
accessControlPolicyAnnc,acpa
accessControlPolicyIDs,acpi
accessControlRule,acr
accessControlUserIDs,acui
accessControWindow,actw
action,acn
action,actr
actionAnnc,actra
actionPrimitive,apv
actionPriority,apy
actionResult,air
activate,act
activeCmdhPolicy,acmp
activeCmdhPolicyLink,acmlk
activeStatus,acts
activityPattern,apt
activityPatternElements,ape
additionalBackoffTime,abt
additions,adds
AE,ae
AE-ID,aei
AE-IDList,ail
AEAnnc,aea
AEContactList,alst
AEContactListPerCSE,alpc
AEReferenceIDChange,aerid
AERegistrationPointChange,aerp
aggregatedNotification,agn
aggregatedRequest,arq
aggregatedResponse,agr
algorithmType,algt
allJoynApp,ajap
allJoynAppAnnc,ajapa
allJoynInterface,ajif
allJoynInterfaceAnnc,ajifa
allJoynMethod,ajmd
allJoynMethodAnnc,ajmda
allJoynMethodCall,ajmc
allJoynMethodCallAnnc,ajmca
allJoynProperty,ajpr
allJoynPropertyAnnc,ajpra
allJoynSvcObject,ajso
allJoynSvcObjectAnnc,ajsoa
allowedAEs,aae
allowedApp-IDs,aai
allowedRole-IDs,ari
announcedAttribute,aa
announceSyncType,ast
announceTo,at
anyArg,any
App-ID,api
applicability,appl
applicableCredIDs,apci
applicableEventCategories,aecs
applicableEventCategory,aec
applyRelativePath,arp
appName,apn
areaNwkDeviceInfo,andi
areaNwkDeviceInfoAnnc,andia
areaNwkId,awi
areaNwkInfo,ani
areaNwkInfoAnnc,ania
areaNwkType,ant
assignedTokenIdentifiers,ati
associatedCrossResourceSub,acrs
attached,att
attribute,atr
attributeList,atrl
attributeName,atn
audience,tkau
authID,aid
authorizationDecision,auds
authorizationDecisionResourceIDs,adri
authorizationInformation,auif
authorizationInformationResourceIDs,airi
authorizationPolicy,aupy
authorizationPolicyResourceIDs,apri
authorRelIndicator,auri
authorSignIndicator,asi
authorSignReqInfo,asri
authorSigns,aus
backgroundDataTransfer,bdt
backOffParameters,bop
backOffParametersSet,bops
batchNotify,bn
battery,bat
batteryAnnc,bata
batteryLevel,btl
batteryStatus,bts
beaconCriteria,bcnc
beaconInterval,bcni
beaconRequester,bcnr
beaconThreshold,bcnt
callStatus,clst
capabilityActionStatus,cas
capabilityName,can
certificates,escert
childAttribute,catr
childLabels,clbl
childResource,ch
childResourceType,chty
circRegion,accr
cmdhBuffer,cmbf
cmdhDefaults,cmdf
cmdhDefEcValue,cmdv
cmdhEcDefParamValues,cmpv
cmdhLimits,cml
cmdhNetworkAccessRules,cmnr
cmdhNwAccessRule,cmwr
cmdhPolicy,cmp
cmdhPolicyName,cpn
cmdType,cmt
collectedEntityID,cdi
collectingEntityID,cei
collectPeriod,cp
combiningAlgorithm,ca
completeTime,cpt
congestionLevel,cgnl
congestionStatus,cgns
consistencyStrategy,csy
container,cnt
containerAnnc,cnta
containerDefinition,cnd
content,con
contentFilterQuery,cfq
contentFilterSyntax,cfs
contentInfo,cnf
contentInstance,cin
contentInstanceAnnc,cina
contentOffset,cnot
contentRef,conr
contentSerialization,csz
contentSize,cs
contentStatus,cnst
contentString,cstr
contentType,cty
coordinates,crd
country,cnty
countryCode,accc
createdAfter,cra
createdBefore,crb
creationTime,ct
creator,cr
crossResourceSubscription,crs
CSE-ID,csi
CSEBase,cb
CSEBaseAnnc,cba
cseType,cst
currentByteSize,cbs
currentNrOfInstances,cni
