Attribute,Short Name
execStatus,exs
execTarget,ext
executable,exec
executionEnvRef,eer
expirationCounter,exc
expirationTime,et
expireAfter,exa
expireBefore,exb
extension,tkex
externalGroupID,egid
factoryReset,far
factSet,rfst
failureReason,frsn
filesize,fsi
fileType,ftyp
filterCriteria,fc
filterOperation,fo
filterUsage,fu
firmware,fwr
firmwareAnnc,fwrA
firmwareName,fwn
from,fr
functionDescriptor,fucd
fwVersion,fwv
genericInterworkingOperationInstance,gio
genericInterworkingOperationInstanceAnnc,gioA
genericInterworkingService,gis
genericInterworkingServiceAnnc,gisA
geofenceEventCriteria,gec
geographicalTargetArea,gta
geographicArea,geoa
geographicInformation,ggi
geometry,geom
geometryType,gmty
geoQuery,gq
geoSpatialFunction,gsf
grantedPrivileges,gp
group,grp
groupAnnc,grpA
groupID,gpi
groupLink,gli
groupName,gn
groupRequestIdentifier,gid
groupRequestTargetMembers,grtm
groupSomecastTargetNumber,gstn
holder,tkhd
hostedAELinks,hael
hostedCSELink,hcl
hostedServiceLinks,hsl
hwVersion,hwv
IDList,idl
individualSoftwareStatuses,isws
initialBackoffTime,ibt
initialState,inst
input,inp
input,ipu
inputDescriptor,iptd
install,in
installStatus,ins
interfaceIntrospectXmlRef,ajir
IPEDiscoveryRequest,idr
ipv4Address,ip4
ipv4Addresses,ipv4
ipv6Address,ip6
ipv6Addresses,ipv6
issuer,tkis
labels,lbl
labelsQuery,lbq
lastModifiedTime,lt
latestNotify,ln
level,lvl
lifespan,ls
limit,lim
limitsDelAggregation,lda
limitsEventCategory,lec
limitsOpExecTime,loet
limitsRequestExpTime,lqet
limitsRespPersistence,lrp
limitsResultExpTime,lset
link,lnk
listOfDevices,ldv
listOfNeighbors,lnh
localMulticastGroup,lmg
localTokenID,lti
localTokenIdAssignment,ltia
localTokenIDs,ltids
location,loc
locationContainerID,loi
locationContainerName,lon
locationID,li
locationInformationType,lit
locationPolicy,lcp
locationPolicyAnnc,lcpA
locationRegions,lr
locationServer,lor
locationSource,los
locationStatus,lost
locationTargetID,lot
locationUpdateEventCriteria,luec
locationUpdatePeriod,lou
logData,lgd
logStart,lga
logStatus,lgst
logStop,lgo
logTypeId,lgt
M2M-Ext-ID,mei
M2M-Ext-IDs,meis
M2M-SS-ID,mssi
M2M-Sub-ID,msui
M2M-User-ID,mui
m2m:requestPrimitive,rqp
m2m:responsePrimitive,rsp
m2mServiceSubscriptionProfile,mssp
m2mServiceUser,msu
manufacturer,man
manufacturerDetailsLink,mfdl
manufacturingDate,mfd
mappingAlgorithmLinks,mpal
mappingPolicy,mpol
mappingResult,mpr
mappingResultFormat,mprf
mappingThreshold,mpth
mashupMember,msm
mashupResult,mrt
mashupResultFormat,mrf
maxBufferSize,mbfs
maxByteSize,mbs
maximumBackoffTime,mbt
maxInstanceAge,mia
maxMembersPerGroup,mmg
maxNotificationRate,mnr
maxNrOfInstances,mni
maxNrOfMembers,mnm
maxNrOfNotify,mnn
maxNumAEs,mna
maxNumBytes,mnb
maxNumContainers,mnc
maxNumFlexContainers,mnf
maxNumInstancesPerContainer,mnis
maxNumInstancesPerFlexContainer,mnif
maxNumInstancesPerTimeSeries,mnit
maxNumNodes,mnns
maxNumTimeSeries,mnt
maxRequestRate,mrr
memAvailable,mma
memberFilter,mbft
memberIDs,mid
memberList,mli
membersAccessControlPolicyIDs,macp
memberStoreType,mst
memberType,mt
memberTypeValidated,mtv
memberURI,muri
memberValue,mvl
memory,mem
memoryAnnc,memA
memTotal,mmt
metaInformation,mi
mgmtClientAddress,mgca
mgmtCmd,mgc
mgmtDefinition,mgd
mgmtLink,cmlk
mgmtSchema,mgs
minReqVolume,mrv
missingData,md
missingDataCurrentNr,mdc
missingDataDetect,mdd
missingDataDetectTimer,mdt
missingDataList,mdlt
missingDataMaxNr,mdn
model,mod
modifiedSince,ms
monitorEnable,mnen
monitorStatus,mnst
multicastAddress,mad
multicastCapability,mtcc
multicastGroupFanoutTarget,mgft
multimediaSession,mms
multimediaSessionAnnc,mmsA
name,nm
networkAction,nwa
networkCoordinated,nco
networkID,nid
nextState,nxst
niddRequired,nrq
node,nod
nodeAnnc,nodA
nodeID,ni
nodeLink,nl
nodeType,nty
notAfter,tkna
notBefore,tknb
notification,sgn
notificationCongestionPolicy,ncp
notificationContentType,nct
notificationEvent,nev
notificationEventCat,nec
notificationEventType,net
notificationForwardingURI,nfu
notificationPolicyID,npi
notificationStatsEnable,nse
notificationStatsInfo,nsi
notificationStoragePriority,nsp
notificationTarget,ntt
notificationTargetMgmtPolicyRef,ntpr
notificationTargetPolicy,ntp
notificationTargetURI,ntu
notificationURI,nu
notifyAggregation,nar
number,num
numberImpactedCSEs,nic
numberOfDevices,ndev
numberOfNodes,non
numOfBytes,nob
numOfRequests,nor
nwMonitoringReq,nmr
objectIDs,obis
objectPath,ajop
objectPaths,obps
objectResourceID,orc
offeredSessionDescriptions,osd
offset,ofst
ontology,ont
ontologyAnnc,ontA
ontologyContent,ontc
ontologyFormat,ontf
ontologyMapping,ontm
ontologyMappingAlgorithm,omal
ontologyMappingAlgorithmAnnc,omalA
ontologyMappingAlgorithmRepository,omar
ontologyMappingAlgorithmRepositoryAnnc,omarA
ontologyMappingAnnc,ontmA
ontologyMappingResources,omr
ontologyRef,or
ontologyRepository,ontr
ontologyRepositoryAnnc,ontrA
operation,op
operationExecutionTime,oet
operationMonitor,om
operationResult,ors
operations,ops
operationType,opt
operator,optr
optionalRandomBackoffTime,rbt
order,od
originatingTimestamp,ot
originator,org
originatorIP,oip
originatorLocation,olo
originatorRoleIDs,orid
osVersion,osv
otherConditions,ohc
output,out
outputDescriptor,uptd
parentAttribute,patr
parentID,pi
parentLabels,palb
parentResourceType,pty
password,pwd
pendingNotification,pn
periodForResultGen,prg
periodicInterval,pei
permission,pm
permissions,tkps
pointOfAccess,poa
policies,ps
policyDeletionRules,pdr
policyLabel,plbl
pollingChannel,pch
presentationURL,purl
preSubscriptionNotify,psn
primitiveContent,pc
primitiveProfile,prp
primitiveProfileAnnc,prpA
primitiveProfileIdentifier,prpi
privileges,pv
privilegesLifetime,pl
processControl,prct
processManagement,prmr
processManagementAnnc,prmrA
processStatus,prst
proposedPrivilegesLifetime,ppl
protocol,ptl
qosLevel,qosl
queryResult,qres
rateLimit,rl
reasoningJobInstance,rji
reasoningJobInstanceAnnc,rjiA
reasoningMode,rmod
reasoningPeriod,rper
reasoningRules,rrul
reasoningRulesAnnc,rrulA
reasoningType,rtyp
reboot,rbo
rebootAnnc,rboA
referencedResourceID,rri
registrationStatus,regs
regularResourcesAsTarget,rrat
relatedSemantics,rels
releaseVersionIndicator,rvi
releaseVersions,rvs
remoteCSE,csr
remoteCSEAnnc,csrA
representation,rep
request,req
requestCharacteristics,rch
requestContext,rct
requestContextNotification,rctn
requestedResourceType,rrt
requestedValue,rqv
requestExpirationTimestamp,rqet
requestID,rid
requestIdentifier,rqi
requestOrigin,ror
requestPrimitives,rqps
requestReachability,rr
requestsSent,rqs
requestStatus,rs
requestTime,rtm
requestTimestamp,rts
reset,rst
resource,rce
resourceAttributeID,raid
resourceID,ri
resourceID,rsid
resourceIDList,ril
resourceIDs,rsds
resourceIDs,ris
resourceName,rn
resourcePermission,rpm
resourceRef,rrf
resourceRefList,rrl
resourceType,ty
resourceTypes,rtys
responsePrimitives,rsps
responsesReceived,rsr
responseStatusCode,rsc
responseTarget,rstt
responseTimeWindow,rstw
responseType,rt
responseTypeValue,rtv
resultContent,rcn
resultExpirationTimestamp,rset
resultGenType,rgt
resultPersistence,rp
resultRepresentation,rsrp
resultRepresentationFormat,rsrpf
retrieveLastKnownLocation,rlkl
roamingStatus,rms
role,rol
roleID,rlid
roleIDs,rids
roleIDsFromACPs,rfa
roleName,rlnm
ruleLinks,rlk
ruleRepresentation,rrep
ruleRepresentationFormat,rrepf
ruleSet,rrst
rulesRelationship,rrs
schedule,sch
scheduleAnnc,schA
scheduleElement,se
scheduleEntry,sce
securedDasRequest,sdr
securityInfo,seci
securityInfoType,sit
selfPrivileges,pvs
semanticDescriptor,smd
semanticDescriptorAnnc,smdA
semanticMashupInstance,smi
semanticMashupInstanceAnnc,smiA
semanticMashupJobProfile,smjp
semanticMashupJobProfileAnnc,smjpA
semanticMashupResult,smr
semanticMashupResultAnnc,smrA
semanticOpExec,soe
semanticQueryIndicator,sqi
semanticRuleRepository,srr
semanticRuleRepositoryAnnc,srrA
semanticsFilter,smf
semanticSupportIndicator,ssi
semanticValidated,svd
sequenceNr,snr
serviceSubscribedAppRule,asar
serviceSubscribedNode,svsn
serviceSubscribedUserProfile,ssup
serviceSubscriptionDuration,ssd
sessionCapabilities,scp
sessionDescription,sdc
sessionEndpoints,eqse
sessionOriginatorID,soi
sessionSchedule,ssch
sessionState,sst
setOfACRs,sacr
sharedReceiverESPrimRandObject,esro
sizeAbove,sza
sizeBelow,szb
sleepDuration,sld
sleepInterval,sli
smiID,miid
smjpID,mjid
smjpInputParameter,jpin
software,swr
softwareAnnc,swrA
softwareCampaign,swcm
softwareCampaignAnnc,swcmA
softwareInstall,swin
softwareLinks,swlk
softwareName,swn
softwareOperation,swop
softwareTargets,swts
softwareTriggerCriteria,swtc
softwareTriggerCriterionEntry,stce
softwareUninstall,swun
softwareUpdate,swup
source,sr
sourceOntology,sont
specializationType,spty
spreadingWaitTime,swt
startTime,stt
state,stte
stateAction,stac
stateActive,sact
stateAnnc,stteA
stateTag,st
stateTagBigger,stb
stateTagSmaller,sts
stateTransition,sttr
stateTransitions,sttrs
stationaryIndication,sti
statModel,sm
statsCollect,stcl
statsCollectID,sci
statsConfig,stcg
statsRuleStatus,srs
status,sus
storagePriority,sgp
subject,sbjt
subjectResourceID,sri
subjectResourceID,srid
subModel,smod
subscriberURI,su
subscription,sub
subscriptionDeletion,sud
subscriptionReference,sur
subscriptionResourcesAsTarget,srat
successURL,surl
sufficient,sfc
supportede2ESecFeatures,esf
supportedReleaseVersions,srv
supportedResourceType,srt
supportURL,spur
svcFwWrapper,ajfw
svcFwWrapperAnnc,ajfwA
svcObjWrapper,ajsw
svcObjWrapperAnnc,ajswA
swVersion,swv
systemTime,syst
target,tg
targetedResourceID,trid
targetedResourceType,tirt
targetedResourceType,trt
targetFile,tgf
targetNetwork,ttn
targetOntology,tont
targetRemovalAllowance,tra
targetRemovalRequest,trr
threshold,thld
timeOfDay,tod
timeOffset,tost
timeSeries,ts
timeSeriesAnnc,tsA
timeSeriesInstance,tsi
timeSeriesInstanceAnnc,tsiA
timeSeriesNotification (root element),tsn
timeSyncBeacon,tsb
timeSyncBeaconReference,tbr
timeWindow,tww
timeWindowSize,tws
timeWindowType,twt
TMGI,tmgi
to,to
token,tk
tokenID,tkid
tokenIDs,tids
tokenLink,rltl
tokenName,tknm
tokenObject,tkob
tokenRequestIndicator,tqi
tokenRequestInformation,tqf
tokens,tkns
tracingInfo,tcin
tracingOption,tcop
trackingID1,tid1
trackingID2,tid2
trackRegistrationPoints,trps
transaction,trac
transactionCommitTime,tct
transactionControl,tctl
transactionExecuteTime,text
transactionExpirationTime,tept
transactionID,tid
transactionLockTime,tltm
transactionLockType,tltp
transactionMaxRetries,tmr
transactionMgmt,tram
transactionMgmtHandling,tmh
transactionMode,tmd
transactionState,trst
transferSelectionGuidance,tsg
Trigger-Recipient-ID,tri
triggerEnable,tren
triggerInfoAddress,tia
triggerInfoAE-ID,tiae
triggerInfoOperation,tio
triggerInfoPoA,tipa
triggerInfoSerializationTypes,tist
triggerPayload (root element),tgp
triggerPurpose,tpe
triggerReference,trf
triggerReferenceNumber,trn
triggerRequest,tgr
triggerStatus,tst
triggerValidityTime,tvt
type,typ
uninstall,un
unmodifiedSince,us
update,ud
updateStatus,uds
upload,uld
URI,uri
URIList,uril
URIReference,urir
URL,url
username,unm
UUID,uuid
validationEnable,vlde
value,val
vendorInformation,vsi
verificationRequest,vrq
version,vr
volumePerNode,vpn
