3DPrinter,thdpr
open,open
openAlarm,opeam
openDuration,opedn
openLevel,opell
operationMode,opeme
osVersion,osevn
overcurrentSensor,ovesr
overcurrentStatus,ovess
oximeter,oximr
oxygenSaturation,oxysn
ozoneMeter,ozomr
ozoneStatus,ozoss
ozoneValueMG,ozvmg
ozoneValuePPM,ovppm
password,pwd
payload,payld
phoneCall,phocl
playerControl,placl
power,power
powerGenerationData,pogda
powerOutlet,powot
powerSave,pows0
powerSaveEnabled,posed
powerState,powse
powerStatus,powss
presentationURL,prurl
previousChannel,precl
previousTrack,pretk
preWash,prewh
primaryName,prine
primaryState,prise
primaryUrl,priul
primaryVersion,privn
printerRunState,prrse
printingState,pris0
printQueue,priqe
printSizeX,prisx
printSizeY,prisy
printSizeZ,prisz
printType,prite
progressPercentage,prope
pulsemeter,pulsr
pulseRate,pulre
pushButton,pusbn
pushed,pushd
ramAvailable,ramae
ramTotal,ramtl
rapidCool,rapcl
rapidFreeze,rapfe
readIO,reaio
reboot,rebot
rebootType,rebte
recipientID,recid
recorder,recor
red,red
referenceTimer,reftr
refrigeration,refrn
relativeHumidity,relhy
remoteControlEnable,recee
remoteControlEnabled,reced
resetNumberValue,renve
resetTextMessage,retme
resistance,resie
result,resut
robotCleanerJobMode,rcjme
robotCleanerOperationMode,rcome
roundingEnergyConsumption,roecn
roundingEnergyGeneration,roegn
rr,r0
rssi,rssi
runningTime,runte
runState,runse
scannerRunState,scrse
sdp,sdp
secondaryName,secne
secondaryState,secse
secondaryUrl,secul
secondaryVersion,secvn
securityMode,secme
securityModes,secms
sensitivity,sensy
sensorHumidity,senhy
sensorOdor,senor
sensorPM1,sepm1
sensorPM10,sepm0
sensorPM2,sepm2
serialNumber,sernr
sessionDescription,sesdn
signalStrength,sigsh
significantDigits,sigds
silentTime,silte
size,size
sleepTimer,sletr
smokeSensor,smosr
smokeThreshhold,smotd
softLeanMass,solms
soilLevel,soill
speed,speed
speedFactor,spefr
speedWash,spewh
sphygmomanometer,sphyr
spinLevel,spill
spinLevelStrength,splsh
spinSpeed,spisd
start3Dprint,stadt
startPause,stape
state,state
status,sus
steamClosetJobMode,scjme
steamClosetOperationMode,scome
steamTreat,stett
step,step
stepValue,steve
stop3Dprint,stodt
storageAvailable,stoae
storageTotal,stotl
strength,streh
subDeviceCuff,sudcf
subDevicePowerOutlet,sdpot
subModel,subml
supportedHorizontalDirection,suhdn
supportedMediaSources,sumss
supportedMessageValues,sumvs
supportedPlayerModes,supms
supportedVerticalDirection,suvdn
supportURL,suurl
swVersion,swevn
systemTime,syste
systolicPressure,syspe
targetAltitude,tarae
targetDuration,tardn
targetLatitude,tarle
targetLongitude,tarl0
targetTemperature,tarte
targetTimeToStart,tttst
targetTimeToStop,tttsp
televisionChannel,telcl
temperature,tempe
temperatureAlarm,temam
temperatureThreshhold,temtd
textMessage,texme
time,time
timer,timer
toggle,togge
token,tk
tone,tone
turbo,turbo
turboEnabled,tured
type,type
uninstall,uninl
unit,unit
unmount,unmot
upChannel,uphcl
updateFirmware,updfe
upVolume,upove
uri,ur0
URL,url
url,ur1
useGrinder,usegr
uvSensor,uvesr
uvStatus,uvtss
uvValue,uvave
version,versn
verticalAccuracy,veray
verticalDirection,verdn
visceraFat,visft
voc,voc
voltage,volte
volumePercentage,volpe
washTemp,wastp
water,water
waterFilterInfo,wafio
waterFlow,watfw
waterFlowStrength,wafsh
waterSensor,watsr
waterStatus,watss
weight,weigt
writeIO,wriio
